payment_id,order_id,paid_amount,paid_at,method
PAY-5113,ORD-1120,560.19,2026-08-11T00:00:00Z,paypal
PAY-5114,ORD-1122,617.71,2026-08-11T14:26:00Z,wire
PAY-5115,ORD-1123,16.44,2026-08-12T21:39:00Z,wire
PAY-5116,ORD-1124,765.32,2026-08-12T04:52:00Z,wire
PAY-5117,ORD-1125,419.82,2026-08-12T11:05:00Z,card
PAY-5118,ORD-1126,744.91,2026-08-12T18:18:00Z,card
PAY-5119,ORD-1127,110.58,2026-08-12T01:31:00Z,wire
PAY-5120,ORD-1128,371.7,2026-08-12T08:44:00Z,wire
PAY-5121,ORD-1129,806.14,2026-08-12T15:57:00Z,paypal
PAY-5122,ORD-1130,355.64,2026-08-12T22:10:00Z,paypal
PAY-5123,ORD-1131,259.23,2026-08-12T05:23:00Z,paypal
PAY-5124,ORD-1132,531.12,2026-08-12T12:36:00Z,card
PAY-5125,ORD-1133,520.4,2026-08-12T19:49:00Z,paypal
PAY-5126,ORD-1134,657.72,2026-08-13T02:02:00Z,wire
PAY-5127,ORD-1135,352.38,2026-08-13T09:15:00Z,paypal
PAY-5128,ORD-1135,352.38,2026-08-13T09:15:00Z,card
PAY-5129,ORD-1136,489.2,2026-08-13T16:28:00Z,card
PAY-5130,ORD-1137,692.65,2026-08-13T23:41:00Z,card
PAY-5131,ORD-1138,130.93,2026-08-13T06:54:00Z,card
PAY-5132,ORD-1139,-12.5,2026-08-13T13:07:00Z,card
PAY-5133,ORD-1140,151.68,2026-08-13T20:20:00Z,card
PAY-5134,ORD-1141,524.37,2026-08-13T03:33:00Z,wire
PAY-5135,ORD-1142,212.12,2026-08-13T10:46:00Z,paypal
PAY-5136,ORD-1143,637.12,2026-08-13T17:59:00Z,wire
PAY-5137,ORD-1144,765.89,2026-08-13T00:12:00Z,paypal
PAY-5138,ORD-1145,66.34,2026-08-14T07:25:00Z,card
PAY-5139,ORD-1147,40.77,2026-08-14T21:51:00Z,wire
PAY-5140,ORD-1148,400.46,2026-08-14T04:04:00Z,wire
PAY-5141,ORD-1149,881.35,2026-08-14T11:17:00Z,card
PAY-5142,ORD-1150,89.31,2026-08-14T18:30:00Z,paypal
PAY-5143,ORD-1151,893.65,2026-08-14T01:43:00Z,wire
PAY-5144,ORD-1151,893.65,2026-08-14T01:43:00Z,card
PAY-5145,ORD-1152,37.82,2026-08-14T08:56:00Z,paypal
PAY-5146,ORD-1153,762.0,2026-08-14T15:09:00Z,paypal
PAY-5147,ORD-1156,801.91,2026-08-15T12:48:00Z,card
PAY-5148,ORD-1157,543.72,2026-08-15T19:01:00Z,paypal
PAY-5149,ORD-1158,337.29,2026-08-15T02:14:00Z,wire
PAY-5150,ORD-1159,810.65,2026-08-15T09:27:00Z,card
PAY-5151,ORD-1161,807.52,2026-08-15T23:53:00Z,paypal
PAY-5152,ORD-1162,862.95,2026-08-15T06:06:00Z,paypal
PAY-5153,ORD-1163,206.37,2026-08-15T13:19:00Z,wire
PAY-5154,ORD-1164,691.9,2026-08-15T20:32:00Z,card
PAY-5155,ORD-1165,878.48,2026-08-15T03:45:00Z,card
PAY-5156,ORD-1166,625.37,2026-08-15T10:58:00Z,paypal
PAY-5157,ORD-1167,829.05,2026-08-16T17:11:00Z,paypal
PAY-5158,ORD-1169,727.51,2026-08-16T07:37:00Z,paypal
PAY-5159,ORD-1170,225.44,2026-08-16T14:50:00Z,wire
PAY-5160,ORD-1171,724.12,2026-08-16T21:03:00Z,card
PAY-5161,ORD-1172,556.89,2026-08-16T04:16:00Z,paypal
PAY-5162,ORD-1173,149.54,2026-08-16T11:29:00Z,card
PAY-5163,ORD-1174,634.65,2026-08-16T18:42:00Z,card
PAY-5164,ORD-1175,834.27,2026-08-16T01:55:00Z,card
PAY-5165,ORD-1176,281.89,2026-08-16T08:08:00Z,card
PAY-5166,ORD-1177,789.17,2026-08-16T15:21:00Z,paypal
PAY-5167,ORD-1178,248.47,2026-08-17T22:34:00Z,wire
PAY-5168,ORD-1179,853.88,2026-08-17T05:47:00Z,paypal
PAY-5169,ORD-1180,152.62,2026-08-17T12:00:00Z,paypal
PAY-5170,ORD-1181,447.76,2026-08-17T19:13:00Z,wire
PAY-5171,ORD-1182,733.07,2026-08-17T02:26:00Z,card
PAY-5172,ORD-1183,251.09,2026-08-17T09:39:00Z,card
PAY-5173,ORD-1184,664.79,2026-08-17T16:52:00Z,paypal
PAY-5174,ORD-1186,379.2,2026-08-17T06:18:00Z,paypal
PAY-5175,ORD-1187,31.01,2026-08-17T13:31:00Z,wire
PAY-5176,ORD-1188,606.58,2026-08-17T20:44:00Z,paypal
PAY-5177,ORD-1189,31.14,2026-08-18T03:57:00Z,card
PAY-5178,ORD-1191,345.97,2026-08-18T17:23:00Z,wire
PAY-5179,ORD-1193,602.97,2026-08-18T07:49:00Z,paypal
PAY-5180,ORD-1194,354.57,2026-08-18T14:02:00Z,paypal
PAY-5181,ORD-1195,691.89,2026-08-18T21:15:00Z,wire
PAY-5182,ORD-1196,310.49,2026-08-18T04:28:00Z,card
PAY-5183,ORD-1197,323.0,2026-08-18T11:41:00Z,card
PAY-5184,ORD-1198,677.93,2026-08-18T18:54:00Z,paypal
PAY-5185,ORD-1199,316.28,2026-08-18T01:07:00Z,wire
PAY-5186,ORD-1200,0.0,2026-08-19T08:20:00Z,card
PAY-5187,ORD-1201,756.0,2026-08-19T15:33:00Z,wire
PAY-5188,ORD-1202,582.77,2026-08-19T22:46:00Z,card
PAY-5189,ORD-1203,405.54,2026-08-19T05:59:00Z,paypal
PAY-5190,ORD-1204,92.65,2026-08-19T12:12:00Z,card
PAY-5191,ORD-1205,316.5,2026-08-19T19:25:00Z,card
PAY-5192,ORD-1206,247.74,2026-08-19T02:38:00Z,card
PAY-5193,ORD-1207,791.79,2026-08-19T09:51:00Z,paypal
PAY-5194,ORD-1208,502.46,2026-08-19T16:04:00Z,wire
PAY-5195,ORD-1209,890.95,2026-08-19T23:17:00Z,card
PAY-5196,ORD-1209,890.95,2026-08-19T23:17:00Z,card
PAY-5197,ORD-1210,837.88,2026-08-19T06:30:00Z,wire
PAY-5198,ORD-1211,786.55,2026-08-19T13:43:00Z,paypal
PAY-5199,ORD-1212,229.65,2026-08-20T20:56:00Z,paypal
PAY-5200,ORD-1213,823.02,2026-08-20T03:09:00Z,paypal
PAY-5201,ORD-1214,338.5,2026-08-20T10:22:00Z,paypal
PAY-5202,ORD-1215,154.53,2026-08-20T17:35:00Z,wire
PAY-5203,ORD-1216,304.54,2026-08-20T00:48:00Z,card
PAY-5204,ORD-1217,28.27,2026-08-20T07:01:00Z,card
PAY-5205,ORD-1218,424.72,2026-08-20T14:14:00Z,card
PAY-5206,ORD-1219,556.45,2026-08-20T21:27:00Z,wire
PAY-5207,ORD-1220,600.56,2026-08-20T04:40:00Z,paypal
PAY-5208,ORD-1221,58.03,2026-08-20T11:53:00Z,wire
PAY-5209,ORD-1222,514.62,2026-08-20T18:06:00Z,paypal
PAY-5210,ORD-1223,473.4,2026-08-21T01:19:00Z,card
PAY-5211,ORD-1224,275.31,2026-08-21T08:32:00Z,paypal
PAY-5212,ORD-1225,-1.0,2026-08-21T15:45:00Z,wire
PAY-5213,ORD-1226,388.96,2026-08-21T22:58:00Z,paypal
PAY-5214,ORD-1227,326.83,2026-08-21T05:11:00Z,paypal
PAY-5215,ORD-1228,652.07,2026-08-21T12:24:00Z,wire
PAY-5216,ORD-1230,415.66,2026-08-21T02:50:00Z,wire
PAY-5217,ORD-1231,499.82,2026-08-21T09:03:00Z,paypal
PAY-5218,ORD-1232,777.47,2026-08-21T16:16:00Z,paypal
PAY-5219,ORD-1233,553.54,2026-08-21T23:29:00Z,paypal
PAY-5220,ORD-1234,327.77,2026-08-22T06:42:00Z,card
PAY-5221,ORD-1235,115.25,2026-08-22T13:55:00Z,wire
PAY-5222,ORD-1236,855.58,2026-08-22T20:08:00Z,paypal
PAY-5223,ORD-1237,344.61,2026-08-22T03:21:00Z,paypal
PAY-5224,ORD-1238,506.63,2026-08-22T10:34:00Z,card
PAY-5225,ORD-1240,164.29,2026-08-22T00:00:00Z,card
PAY-5226,ORD-1241,152.97,2026-08-22T07:13:00Z,wire
PAY-5227,ORD-1242,856.75,2026-08-22T14:26:00Z,wire
PAY-5228,ORD-1243,431.66,2026-08-22T21:39:00Z,card
PAY-5229,ORD-1244,428.16,2026-08-22T04:52:00Z,wire
PAY-5230,ORD-1245,170.54,2026-08-23T11:05:00Z,card
PAY-5231,ORD-1246,239.25,2026-08-23T18:18:00Z,paypal
PAY-5232,ORD-1247,699.96,2026-08-23T01:31:00Z,wire
PAY-5233,ORD-1248,678.29,2026-08-23T08:44:00Z,wire
PAY-5234,ORD-1250,-12.5,2026-08-23T22:10:00Z,wire
PAY-5235,ORD-1251,300.45,2026-08-23T05:23:00Z,wire
PAY-5236,ORD-1253,241.22,2026-08-23T19:49:00Z,card
PAY-5237,ORD-1254,680.86,2026-08-23T02:02:00Z,paypal
PAY-5238,ORD-1255,108.43,2026-08-23T09:15:00Z,wire
PAY-5239,ORD-1256,210.01,2026-08-24T16:28:00Z,wire
PAY-5240,ORD-1257,864.02,2026-08-24T23:41:00Z,wire
PAY-5241,ORD-1258,568.27,2026-08-24T06:54:00Z,card
PAY-5242,ORD-1259,582.27,2026-08-24T13:07:00Z,card
PAY-5243,ORD-1260,888.07,2026-08-24T20:20:00Z,paypal
PAY-5244,ORD-1260,888.07,2026-08-24T20:20:00Z,card
PAY-5245,ORD-1262,642.09,2026-08-24T10:46:00Z,paypal
PAY-5246,ORD-1263,405.19,2026-08-24T17:59:00Z,card
PAY-5247,ORD-1264,540.81,2026-08-24T00:12:00Z,wire
PAY-5248,ORD-1265,533.47,2026-08-24T07:25:00Z,paypal
PAY-5249,ORD-1266,824.48,2026-08-24T14:38:00Z,wire
PAY-5250,ORD-1267,846.7,2026-08-25T21:51:00Z,paypal
PAY-5251,ORD-1268,160.57,2026-08-25T04:04:00Z,card
PAY-5252,ORD-1269,806.72,2026-08-25T11:17:00Z,paypal
PAY-5253,ORD-1270,55.83,2026-08-25T18:30:00Z,wire
PAY-5254,ORD-1271,462.48,2026-08-25T01:43:00Z,paypal
PAY-5255,ORD-1272,223.95,2026-08-25T08:56:00Z,paypal
PAY-5256,ORD-1273,0.0,2026-08-25T15:09:00Z,paypal
PAY-5257,ORD-1274,845.69,2026-08-25T22:22:00Z,wire
PAY-5258,ORD-1276,460.68,2026-08-25T12:48:00Z,card
PAY-5259,ORD-1277,535.52,2026-08-25T19:01:00Z,card
PAY-5260,ORD-1278,407.57,2026-08-26T02:14:00Z,wire
PAY-5261,ORD-1279,151.35,2026-08-26T09:27:00Z,card
PAY-5262,ORD-1280,293.01,2026-08-26T16:40:00Z,wire
PAY-5263,ORD-1281,52.95,2026-08-26T23:53:00Z,wire
PAY-5264,ORD-1282,63.55,2026-08-26T06:06:00Z,wire
PAY-5265,ORD-1283,833.54,2026-08-26T13:19:00Z,paypal
PAY-5266,ORD-1284,566.14,2026-08-26T20:32:00Z,wire
PAY-5267,ORD-1286,777.88,2026-08-26T10:58:00Z,paypal
PAY-5268,ORD-1287,838.43,2026-08-26T17:11:00Z,wire
PAY-5269,ORD-1288,837.95,2026-08-26T00:24:00Z,card
PAY-5270,ORD-1289,260.07,2026-08-27T07:37:00Z,paypal
PAY-5271,ORD-1290,276.51,2026-08-27T14:50:00Z,card
PAY-5272,ORD-1291,768.31,2026-08-27T21:03:00Z,paypal
PAY-5273,ORD-1292,816.13,2026-08-27T04:16:00Z,paypal
PAY-5274,ORD-1293,695.14,2026-08-27T11:29:00Z,wire
PAY-5275,ORD-1294,532.99,2026-08-27T18:42:00Z,wire
PAY-5276,ORD-1295,877.51,2026-08-27T01:55:00Z,paypal
PAY-5277,ORD-1296,109.11,2026-08-27T08:08:00Z,wire
PAY-5278,ORD-1297,130.32,2026-08-27T15:21:00Z,wire
PAY-5279,ORD-1298,843.93,2026-08-27T22:34:00Z,card
PAY-5280,ORD-1299,286.87,2026-08-27T05:47:00Z,card
PAY-5281,ORD-9046,20.28,2026-08-15T12:00:00Z,card
PAY-5282,ORD-9335,75.0,2026-08-15T12:00:00Z,card
PAY-5283,ORD-9259,147.89,2026-08-15T12:00:00Z,card
PAY-5284,ORD-9322,166.09,2026-08-15T12:00:00Z,card
PAY-5285,ORD-9289,65.42,2026-08-15T12:00:00Z,card
PAY-5286,ORD-9145,92.83,2026-08-15T12:00:00Z,card
PAY-5287,ORD-9034,79.37,2026-08-15T12:00:00Z,card
PAY-5288,ORD-9088,28.25,2026-08-15T12:00:00Z,card
PAY-5289,ORD-9358,137.75,2026-08-15T12:00:00Z,card
